##,Player,GS,MIN,FG,FGA,3PT,3PTA,FT,FTA,ORB,DRB,PF,A,TO,BLK,STL,PTS,Opponent,Opp_score,UM_score,Date,Court,Result
13,"13 Wagner, Moritz",*,32,9,14,3,7,3,5,2,5,3,0,1,0,3,24,LSU,77,75,11/20/17,neutral,L
12,"12 Abdur-Rahkman, M-A",*,36,4,13,0,5,4,4,2,3,1,4,0,0,1,12,LSU,77,75,11/20/17,neutral,L
22,"22 Robinson, Duncan",*,28,1,4,1,3,0,0,0,1,3,0,0,0,0,3,LSU,77,75,11/20/17,neutral,L
3,"3 Simpson, Zavier",*,10,0,0,0,0,0,0,0,0,4,2,2,0,0,0,LSU,77,75,11/20/17,neutral,L
55,"55 Brooks, Eli",,17,1,4,1,2,1,2,1,1,1,1,1,0,0,4,LSU,77,75,11/20/17,neutral,L
4,"4 Livers, Isaiah",,12,1,2,0,1,0,0,1,1,0,0,0,0,1,2,LSU,77,75,11/20/17,neutral,L
23,"23 Watson, Ibi",,8,1,4,0,2,0,0,0,0,3,0,0,0,0,2,LSU,77,75,11/20/17,neutral,L
5,"5 Simmons, Jaaron",,15,0,1,0,1,0,0,0,1,1,1,1,0,0,0,LSU,77,75,11/20/17,neutral,L
15,"15 Teske, Jon",,8,0,0,0,0,0,0,1,0,1,1,0,1,1,0,LSU,77,75,11/20/17,neutral,L
2,"2 Poole, Jordan",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LSU,77,75,11/20/17,neutral,L
TM,0 TEAM,,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,LSU,77,75,11/20/17,neutral,L
,Totals,-,200,27,59,6,23,15,21,15,14,20,12,8,1,6,75,LSU,77,75,11/20/17,neutral,L
1,"1 Matthews, Charles",*,29,8,8,2,2,4,5,2,8,2,4,2,3,2,22,CHAMINADE,64,102,11/21/17,neutral,W
12,"12 Abdur-Rahkman, M-A",*,31,6,8,3,4,2,2,0,2,1,5,0,0,2,17,CHAMINADE,64,102,11/21/17,neutral,W
22,"22 Robinson, Duncan",*,29,5,11,4,9,0,0,0,1,0,3,0,0,0,14,CHAMINADE,64,102,11/21/17,neutral,W
13,"13 Wagner, Moritz",*,20,4,6,1,2,1,2,0,5,2,1,0,0,0,10,CHAMINADE,64,102,11/21/17,neutral,W
55,"55 Brooks, Eli",*,21,1,5,1,5,2,2,0,2,1,2,1,1,1,5,CHAMINADE,64,102,11/21/17,neutral,W
2,"2 Poole, Jordan",,9,3,5,2,3,2,2,0,1,1,1,2,0,1,10,CHAMINADE,64,102,11/21/17,neutral,W
4,"4 Livers, Isaiah",,11,3,3,2,2,0,0,0,1,1,0,1,1,0,8,CHAMINADE,64,102,11/21/17,neutral,W
15,"15 Teske, Jon",,14,3,3,0,0,0,3,1,3,1,0,0,1,0,6,CHAMINADE,64,102,11/21/17,neutral,W
51,"51 Davis, Austin",,7,2,3,0,0,0,0,3,2,2,0,0,0,0,4,CHAMINADE,64,102,11/21/17,neutral,W
3,"3 Simpson, Zavier",,11,1,2,0,1,0,0,0,1,0,4,0,0,2,2,CHAMINADE,64,102,11/21/17,neutral,W
23,"23 Watson, Ibi",,4,1,1,0,0,0,0,0,0,0,2,1,0,1,2,CHAMINADE,64,102,11/21/17,neutral,W
0,"0 Hibbitts, Brent",,3,0,0,0,0,2,2,0,0,0,0,0,0,0,2,CHAMINADE,64,102,11/21/17,neutral,W
5,"5 Simmons, Jaaron",,11,0,2,0,0,0,0,0,0,1,0,1,0,0,0,CHAMINADE,64,102,11/21/17,neutral,W
TM,0 TEAM,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,CHAMINADE,64,102,11/21/17,neutral,W
,Totals,-,200,37,57,15,28,13,18,6,27,12,22,8,6,9,102,CHAMINADE,64,102,11/21/17,neutral,W
22,"22 Robinson, Duncan",*,36,7,13,2,8,2,2,3,2,1,0,2,1,0,18,VCU,60,68,11/22/17,neutral,W
13,"13 Wagner, Moritz",*,24,5,10,1,3,1,1,2,7,4,0,2,0,2,12,VCU,60,68,11/22/17,neutral,W
1,"1 Matthews, Charles",*,33,4,9,0,2,3,8,0,6,2,3,1,1,0,11,VCU,60,68,11/22/17,neutral,W
12,"12 Abdur-Rahkman, M-A",*,40,4,11,2,5,0,0,0,5,2,4,0,0,2,10,VCU,60,68,11/22/17,neutral,W
55,"55 Brooks, Eli",*,23,2,4,0,1,1,2,0,1,1,1,0,0,0,5,VCU,60,68,11/22/17,neutral,W
15,"15 Teske, Jon",,16,3,4,0,0,2,5,1,3,1,0,1,2,1,8,VCU,60,68,11/22/17,neutral,W
3,"3 Simpson, Zavier",,19,0,1,0,1,2,2,1,0,2,2,2,0,1,2,VCU,60,68,11/22/17,neutral,W
23,"23 Watson, Ibi",,3,0,0,0,0,2,2,0,0,0,0,1,0,0,2,VCU,60,68,11/22/17,neutral,W
4,"4 Livers, Isaiah",,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,VCU,60,68,11/22/17,neutral,W
5,"5 Simmons, Jaaron",,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,VCU,60,68,11/22/17,neutral,W
2,"2 Poole, Jordan",,0+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VCU,60,68,11/22/17,neutral,W
TM,0 TEAM,,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,VCU,60,68,11/22/17,neutral,W
,Totals,-,200,25,53,5,20,13,22,9,25,14,10,10,4,6,68,VCU,60,68,11/22/17,neutral,W
13,"13 Wagner, Moritz",*,22,7,9,4,5,3,4,1,9,0,1,2,0,0,21,UC Riverside,42,87,11/26/17,home,W
1,"1 Matthews, Charles",*,25,7,12,1,2,2,3,0,4,0,12,1,0,2,17,UC Riverside,42,87,11/26/17,home,W
22,"22 Robinson, Duncan",*,25,5,8,2,4,1,2,3,2,0,0,0,0,4,13,UC Riverside,42,87,11/26/17,home,W
