##,Player,GS,MIN,FG,FGA,3PT,3PTA,FT,FTA,ORB,DRB,PF,A,TO,BLK,STL,PTS,Opponent,Opp_score,UM_score,Date,Court,Result
13,"13 Wagner, Moritz",*,16,4,8,0,2,3,5,0,3,5,1,1,0,0,11,Iowa,71,77,03/01/18,neutral,W
12,"12 Abdur-Rahkman, M-A",*,22,4,7,0,1,1,3,3,2,5,3,0,0,2,9,Iowa,71,77,03/01/18,neutral,W
4,"4 Livers, Isaiah",*,20,3,5,0,2,3,3,0,2,2,0,1,0,1,9,Iowa,71,77,03/01/18,neutral,W
22,"22 Robinson, Duncan",,27,3,7,3,6,2,2,1,4,3,0,0,0,2,11,Iowa,71,77,03/01/18,neutral,W
2,"2 Poole, Jordan",,27,3,7,0,4,0,0,0,4,1,1,3,0,1,6,Iowa,71,77,03/01/18,neutral,W
15,"15 Teske, Jon",,28,1,5,0,0,1,4,4,5,2,0,0,2,1,3,Iowa,71,77,03/01/18,neutral,W
5,"5 Simmons, Jaaron",,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,Iowa,71,77,03/01/18,neutral,W
TM,0 TEAM,,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,Iowa,71,77,03/01/18,neutral,W
,Totals,-,225,28,62,3,19,18,32,11,31,22,11,9,2,8,77,Iowa,71,77,03/01/18,neutral,W
12,"12 Abdur-Rahkman, M-A",*,36,7,13,5,5,2,3,1,3,2,1,1,0,0,21,Nebraska,58,77,03/02/18,neutral,W
13,"13 Wagner, Moritz",*,33,9,16,2,4,0,0,3,10,3,1,2,2,1,20,Nebraska,58,77,03/02/18,neutral,W
3,"3 Simpson, Zavier",*,35,4,8,0,0,4,4,1,1,1,6,3,0,2,12,Nebraska,58,77,03/02/18,neutral,W
1,"1 Matthews, Charles",*,20,0,2,0,1,4,4,1,4,3,1,1,2,0,4,Nebraska,58,77,03/02/18,neutral,W
4,"4 Livers, Isaiah",*,10,0,1,0,1,0,0,1,1,2,0,1,0,0,0,Nebraska,58,77,03/02/18,neutral,W
22,"22 Robinson, Duncan",,29,6,9,4,7,0,0,0,4,3,1,0,0,0,16,Nebraska,58,77,03/02/18,neutral,W
2,"2 Poole, Jordan",,16,1,9,0,3,0,0,1,0,1,2,1,0,1,2,Nebraska,58,77,03/02/18,neutral,W
23,"23 Watson, Ibi",,7,0,2,0,2,1,2,2,1,1,0,0,0,0,1,Nebraska,58,77,03/02/18,neutral,W
15,"15 Teske, Jon",,6,0,0,0,0,1,2,1,1,3,0,0,2,0,1,Nebraska,58,77,03/02/18,neutral,W
5,"5 Simmons, Jaaron",,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Nebraska,58,77,03/02/18,neutral,W
51,"51 Davis, Austin",,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Nebraska,58,77,03/02/18,neutral,W
55,"55 Brooks, Eli",,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Nebraska,58,77,03/02/18,neutral,W
TM,0 TEAM,,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,Nebraska,58,77,03/02/18,neutral,W
,Totals,-,200,27,61,11,23,12,15,13,28,20,12,9,6,4,77,Nebraska,58,77,03/02/18,neutral,W
12,"12 Abdur-Rahkman, M-A",*,38,6,11,3,6,0,0,0,3,1,3,1,0,2,15,Michigan State,64,75,03/03/18,neutral,W
3,"3 Simpson, Zavier",*,32,4,8,1,3,6,8,0,7,2,2,2,0,0,15,Michigan State,64,75,03/03/18,neutral,W
13,"13 Wagner, Moritz",*,28,4,14,1,7,6,8,1,7,3,0,0,0,1,15,Michigan State,64,75,03/03/18,neutral,W
1,"1 Matthews, Charles",*,34,3,6,2,4,4,6,0,6,1,3,1,0,0,12,Michigan State,64,75,03/03/18,neutral,W
4,"4 Livers, Isaiah",*,19,1,1,1,1,0,0,1,1,1,0,1,0,0,3,Michigan State,64,75,03/03/18,neutral,W
22,"22 Robinson, Duncan",,21,2,4,1,3,8,11,1,2,3,0,1,0,1,13,Michigan State,64,75,03/03/18,neutral,W
2,"2 Poole, Jordan",,8,1,2,0,1,0,0,0,2,0,1,2,0,1,2,Michigan State,64,75,03/03/18,neutral,W
15,"15 Teske, Jon",,12,0,0,0,0,0,0,1,2,1,0,0,1,0,0,Michigan State,64,75,03/03/18,neutral,W
5,"5 Simmons, Jaaron",,8,0,1,0,0,0,0,0,0,1,1,0,0,0,0,Michigan State,64,75,03/03/18,neutral,W
TM,0 TEAM,,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Michigan State,64,75,03/03/18,neutral,W
,Totals,-,200,21,47,9,25,24,33,5,31,13,10,9,1,5,75,Michigan State,64,75,03/03/18,neutral,W
13,"13 Wagner, Moritz",*,17,7,11,3,6,0,0,1,1,4,1,0,0,1,17,Purdue,66,75,03/04/18,neutral,W
12,"12 Abdur-Rahkman, M-A",*,33,4,8,3,5,4,6,0,2,2,4,0,0,0,15,Purdue,66,75,03/04/18,neutral,W
3,"3 Simpson, Zavier",*,34,4,7,1,3,1,5,0,5,0,5,2,0,2,10,Purdue,66,75,03/04/18,neutral,W
1,"1 Matthews, Charles",*,33,2,6,1,2,3,5,0,3,0,3,1,0,1,8,Purdue,66,75,03/04/18,neutral,W
4,"4 Livers, Isaiah",*,8,1,1,0,0,0,0,0,1,0,0,0,0,0,2,Purdue,66,75,03/04/18,neutral,W
15,"15 Teske, Jon",,21,6,9,0,0,2,3,1,0,4,2,1,1,0,14,Purdue,66,75,03/04/18,neutral,W
22,"22 Robinson, Duncan",,32,2,7,0,4,2,2,2,1,3,2,0,1,1,6,Purdue,66,75,03/04/18,neutral,W
2,"2 Poole, Jordan",,14,0,1,0,1,3,4,0,4,2,1,1,0,1,3,Purdue,66,75,03/04/18,neutral,W
5,"5 Simmons, Jaaron",,6,0,2,0,2,0,0,0,2,1,0,0,0,0,0,Purdue,66,75,03/04/18,neutral,W
51,"51 Davis, Austin",,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Purdue,66,75,03/04/18,neutral,W
TM,0 TEAM,,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,Purdue,66,75,03/04/18,neutral,W
,Totals,-,200,26,52,8,23,15,25,5,21,16,18,5,2,6,75,Purdue,66,75,03/04/18,neutral,W
1,"1 Matthews, Charles",*,38,7,13,0,3,6,8,0,11,1,1,5,0,0,20,Montana,47,61,03/15/18,neutral,W
12,"12 Abdur-Rahkman, M-A",*,34,3,11,1,6,4,7,0,5,1,2,3,0,2,11,Montana,47,61,03/15/18,neutral,W
13,"13 Wagner, Moritz",*,32,2,6,1,1,0,0,2,4,4,2,3,0,0,5,Montana,47,61,03/15/18,neutral,W
3,"3 Simpson, Zavier",*,21,2,3,1,1,0,0,0,5,4,4,2,0,0,5,Montana,47,61,03/15/18,neutral,W
4,"4 Livers, Isaiah",*,15,0,2,0,1,0,0,1,3,0,0,0,0,0,0,Montana,47,61,03/15/18,neutral,W
22,"22 Robinson, Duncan",,25,2,4,1,3,2,2,0,0,4,0,0,1,1,7,Montana,47,61,03/15/18,neutral,W
5,"5 Simmons, Jaaron",,14,3,3,0,0,0,1,0,1,0,0,0,0,0,6,Montana,47,61,03/15/18,neutral,W
2,"2 Poole, Jordan",,8,1,2,1,1,0,0,0,1,0,0,0,0,0,3,Montana,47,61,03/15/18,neutral,W
15,"15 Teske, Jon",,8,0,2,0,0,2,4,2,0,0,1,0,2,1,2,Montana,47,61,03/15/18,neutral,W
55,"55 Brooks, Eli",,5,1,1,0,0,0,0,0,0,0,1,0,0,0,2,Montana,47,61,03/15/18,neutral,W
TM,0 TEAM,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,Montana,47,61,03/15/18,neutral,W
,Totals,-,200,21,47,5,16,14,22,5,31,14,11,14,3,4,61,Montana,47,61,03/15/18,neutral,W
12,"12 Abdur-Rahkman, M-A",*,39,4,15,0,6,4,4,0,3,2,3,1,0,0,12,Houston,63,64,03/17/18,neutral,W
13,"13 Wagner, Moritz",*,23,5,9,2,4,0,2,1,6,4,3,1,1,0,12,Houston,63,64,03/17/18,neutral,W
1,"1 Matthews, Charles",*,27,5,12,1,4,0,0,2,3,5,2,1,0,1,11,Houston,63,64,03/17/18,neutral,W
3,"3 Simpson, Zavier",*,37,1,7,0,4,2,4,3,5,0,4,3,1,2,4,Houston,63,64,03/17/18,neutral,W
4,"4 Livers, Isaiah",*,10,0,1,0,1,0,0,1,1,2,0,0,0,0,0,Houston,63,64,03/17/18,neutral,W
22,"22 Robinson, Duncan",,30,3,9,3,7,2,2,0,2,5,0,1,1,0,11,Houston,63,64,03/17/18,neutral,W
2,"2 Poole, Jordan",,11,3,5,2,4,0,0,0,2,2,0,0,0,1,8,Houston,63,64,03/17/18,neutral,W
15,"15 Teske, Jon",,17,0,0,0,0,6,8,0,4,2,0,0,2,0,6,Houston,63,64,03/17/18,neutral,W
5,"5 Simmons, Jaaron",,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Houston,63,64,03/17/18,neutral,W
23,"23 Watson, Ibi",,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Houston,63,64,03/17/18,neutral,W
TM,0 TEAM,,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,Houston,63,64,03/17/18,neutral,W
,Totals,-,200,21,59,8,30,14,20,10,28,22,13,7,5,4,64,Houston,63,64,03/17/18,neutral,W
12,"12 Abdur-Rahkman, M-A",*,35,9,16,4,7,2,2,0,5,0,7,1,0,1,24,Texas A&M;,72,99,03/22/18,neutral,W
13,"13 Wagner, Moritz",*,30,8,12,3,3,2,2,1,2,3,0,1,0,2,21,Texas A&M;,72,99,03/22/18,neutral,W
1,"1 Matthews, Charles",*,27,8,11,1,3,1,2,0,5,3,2,1,0,0,18,Texas A&M;,72,99,03/22/18,neutral,W
3,"3 Simpson, Zavier",*,33,5,8,1,2,0,0,0,4,1,5,2,0,6,11,Texas A&M;,72,99,03/22/18,neutral,W
4,"4 Livers, Isaiah",*,18,1,4,0,1,0,0,0,0,1,0,1,0,1,2,Texas A&M;,72,99,03/22/18,neutral,W
22,"22 Robinson, Duncan",,20,4,5,2,3,0,0,0,1,4,3,0,0,1,10,Texas A&M;,72,99,03/22/18,neutral,W
2,"2 Poole, Jordan",,9,1,1,1,1,2,2,0,1,1,1,0,0,0,5,Texas A&M;,72,99,03/22/18,neutral,W
23,"23 Watson, Ibi",,8,1,4,1,3,0,0,0,1,1,0,0,0,1,3,Texas A&M;,72,99,03/22/18,neutral,W
24,"24 Baird, CJ",,1,1,1,1,1,0,0,0,1,0,0,0,0,0,3,Texas A&M;,72,99,03/22/18,neutral,W
51,"51 Davis, Austin",,1,1,1,0,0,0,0,0,1,0,0,0,0,0,2,Texas A&M;,72,99,03/22/18,neutral,W
15,"15 Teske, Jon",,9,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Texas A&M;,72,99,03/22/18,neutral,W
5,"5 Simmons, Jaaron",,7,0,0,0,0,0,0,0,2,1,3,0,0,0,0,Texas A&M;,72,99,03/22/18,neutral,W
55,"55 Brooks, Eli",,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Texas A&M;,72,99,03/22/18,neutral,W
TM,0 TEAM,,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,Texas A&M;,72,99,03/22/18,neutral,W
,Totals,-,200,39,63,14,24,7,8,4,24,15,21,7,0,12,99,Texas A&M;,72,99,03/22/18,neutral,W
